Repository,severity,path,lines,message
NotyKT,WARNING,docs/index.html,"    <script src=""https://cdn.jsdelivr.net/npm/docsify-tabs@1""></script>","This tag is missing an 'integrity' subresource integrity attribute. The 'integrity' attribute allows for the browser to verify that externally hosted files (for example from a CDN) are delivered without unexpected manipulation. Without this attribute, if an attacker can modify the externally hosted resource, this could lead to XSS and other types of attacks. To prevent this, include the base64-encoded cryptographic hash of the resource (file) youre telling the browser to fetch in the 'integrity' attribute for all externally hosted files."
NotyKT,WARNING,docs/index.html,"    <script src=""https://cdn.jsdelivr.net/npm/docsify-themeable@0""></script>","This tag is missing an 'integrity' subresource integrity attribute. The 'integrity' attribute allows for the browser to verify that externally hosted files (for example from a CDN) are delivered without unexpected manipulation. Without this attribute, if an attacker can modify the externally hosted resource, this could lead to XSS and other types of attacks. To prevent this, include the base64-encoded cryptographic hash of the resource (file) youre telling the browser to fetch in the 'integrity' attribute for all externally hosted files."
NotyKT,WARNING,docs/index.html,"    <script src=""https://unpkg.com/docsify-copy-code@2""></script>","This tag is missing an 'integrity' subresource integrity attribute. The 'integrity' attribute allows for the browser to verify that externally hosted files (for example from a CDN) are delivered without unexpected manipulation. Without this attribute, if an attacker can modify the externally hosted resource, this could lead to XSS and other types of attacks. To prevent this, include the base64-encoded cryptographic hash of the resource (file) youre telling the browser to fetch in the 'integrity' attribute for all externally hosted files."
NotyKT,WARNING,docs/index.html,"    <script src=""//cdn.jsdelivr.net/npm/prismjs@1/components/prism-groovy.js""></script>","This tag is missing an 'integrity' subresource integrity attribute. The 'integrity' attribute allows for the browser to verify that externally hosted files (for example from a CDN) are delivered without unexpected manipulation. Without this attribute, if an attacker can modify the externally hosted resource, this could lead to XSS and other types of attacks. To prevent this, include the base64-encoded cryptographic hash of the resource (file) youre telling the browser to fetch in the 'integrity' attribute for all externally hosted files."
NotyKT,WARNING,docs/index.html,"    <script src=""//cdn.jsdelivr.net/npm/prismjs@1/components/prism-java.js""></script>","This tag is missing an 'integrity' subresource integrity attribute. The 'integrity' attribute allows for the browser to verify that externally hosted files (for example from a CDN) are delivered without unexpected manipulation. Without this attribute, if an attacker can modify the externally hosted resource, this could lead to XSS and other types of attacks. To prevent this, include the base64-encoded cryptographic hash of the resource (file) youre telling the browser to fetch in the 'integrity' attribute for all externally hosted files."
NotyKT,WARNING,docs/index.html,"    <script src=""//cdn.jsdelivr.net/npm/prismjs@1/components/prism-kotlin.js""></script>","This tag is missing an 'integrity' subresource integrity attribute. The 'integrity' attribute allows for the browser to verify that externally hosted files (for example from a CDN) are delivered without unexpected manipulation. Without this attribute, if an attacker can modify the externally hosted resource, this could lead to XSS and other types of attacks. To prevent this, include the base64-encoded cryptographic hash of the resource (file) youre telling the browser to fetch in the 'integrity' attribute for all externally hosted files."
NotyKT,WARNING,docs/index.html,"    <script src=""//cdn.jsdelivr.net/npm/prismjs@1/components/prism-bash.js""></script>","This tag is missing an 'integrity' subresource integrity attribute. The 'integrity' attribute allows for the browser to verify that externally hosted files (for example from a CDN) are delivered without unexpected manipulation. Without this attribute, if an attacker can modify the externally hosted resource, this could lead to XSS and other types of attacks. To prevent this, include the base64-encoded cryptographic hash of the resource (file) youre telling the browser to fetch in the 'integrity' attribute for all externally hosted files."
NotyKT,WARNING,docs/index.html,"    <script src=""//cdn.jsdelivr.net/npm/prismjs@1/components/prism-yaml.js""></script>","This tag is missing an 'integrity' subresource integrity attribute. The 'integrity' attribute allows for the browser to verify that externally hosted files (for example from a CDN) are delivered without unexpected manipulation. Without this attribute, if an attacker can modify the externally hosted resource, this could lead to XSS and other types of attacks. To prevent this, include the base64-encoded cryptographic hash of the resource (file) youre telling the browser to fetch in the 'integrity' attribute for all externally hosted files."
NotyKT,WARNING,docs/index.html,"    <script src=""//cdn.jsdelivr.net/npm/prismjs@1/components/prism-json.js""></script>","This tag is missing an 'integrity' subresource integrity attribute. The 'integrity' attribute allows for the browser to verify that externally hosted files (for example from a CDN) are delivered without unexpected manipulation. Without this attribute, if an attacker can modify the externally hosted resource, this could lead to XSS and other types of attacks. To prevent this, include the base64-encoded cryptographic hash of the resource (file) youre telling the browser to fetch in the 'integrity' attribute for all externally hosted files."
NotyKT,WARNING,docs/index.html,"    <script src=""//cdn.jsdelivr.net/npm/docsify-pagination@2/dist/docsify-pagination.min.js""></script>","This tag is missing an 'integrity' subresource integrity attribute. The 'integrity' attribute allows for the browser to verify that externally hosted files (for example from a CDN) are delivered without unexpected manipulation. Without this attribute, if an attacker can modify the externally hosted resource, this could lead to XSS and other types of attacks. To prevent this, include the base64-encoded cryptographic hash of the resource (file) youre telling the browser to fetch in the 'integrity' attribute for all externally hosted files."
NotyKT,WARNING,docs/index.html,"    <script src=""//cdn.jsdelivr.net/npm/docsify-edit-on-github""></script>","This tag is missing an 'integrity' subresource integrity attribute. The 'integrity' attribute allows for the browser to verify that externally hosted files (for example from a CDN) are delivered without unexpected manipulation. Without this attribute, if an attacker can modify the externally hosted resource, this could lead to XSS and other types of attacks. To prevent this, include the base64-encoded cryptographic hash of the resource (file) youre telling the browser to fetch in the 'integrity' attribute for all externally hosted files."
